id,second
01227,13.9
01228,2.5
01229,1.4
01230,14.6
01231,1.4
01232,2.6
01233,32.0
01234,12.7
01235,5.9
01236,4.1
01237,1.2
01238,1.9
01239,11.4
01240,24.2
01241,5.0
01242,17.9
01243,9.8
01244,1.4
01245,10.9
01246,1.9
01247,72.9
01248,2.0
01249,0.7
01250,1.1
01252,10.4
01254,1.0
01255,12.9
01257,18.0
01258,3.6
01259,0.8
01260,8.5
01261,4.8
01262,0.6
01263,2.0
01264,0.9
01265,1.6
01266,2.0
01267,5.1
01268,9.3
01269,4.1
01271,10.2
01272,2.7
01273,11.2
01274,4.4
01275,0.6
01276,1.1
01277,24.9
01279,34.8
01280,35.4
01281,3.1
01282,6.3
01283,1.6
01284,2.4
01285,4.0
01286,13.0
01288,5.3
01289,1.3
01290,3.1
01291,4.8
01292,39.7
01293,10.5
01294,8.3
01295,2.1
01296,3.4
01297,1.8
01298,24.6
01299,1.5
01300,38.1
01301,1.3
01302,14.6
01303,5.9
01304,2.9
01305,3.6
01306,2.2
01307,2.4
01308,15.6
01309,17.6
01310,16.9
01311,69.1
01312,11.7
01313,14.3
01314,9.3
01316,20.7
01317,10.3
01318,1.6
01319,8.1
01320,0.5
01321,2.8
01322,2.7
01323,7.0
01325,3.9
01328,7.8
01329,30.4
01330,25.9
01331,22.9
01332,1.5
01333,1.5
01334,3.1
01335,5.7
01336,2.9
01337,3.8
01338,13.6
01339,8.1
01340,25.2
01341,15.6
01342,6.5
01343,1.8
01344,0.6
01345,0.4
01346,2.2
01347,2.6
01348,5.5
01349,6.5
01350,1.8
01351,3.4
01352,8.1
01353,2.6
01354,3.9
01355,2.9
01356,6.6
01357,14.1
01358,23.2
01359,7.5
01360,3.1
01361,9.9
01362,2.5
01363,7.0
01364,9.6
01365,3.8
01366,2.9
01367,3.0
01368,3.8
01369,1.4
01370,0.6
01371,3.0
01372,13.8
01373,2.9
01374,6.7
01375,2.2
01376,0.9
01378,5.9
01379,7.3
01380,10.7
01381,3.6
01382,4.2
01383,4.1
01384,11.4
01385,1.0
01386,8.1
01387,4.5
01388,3.2
01389,2.1
01390,3.2
01391,15.4
01392,5.8
01393,9.7
01396,4.3
01397,10.7
01398,2.0
01399,4.6
01400,20.2
01401,5.1
01402,9.1
01403,8.0
01404,48.9
01405,0.7
01406,10.7
01407,10.6
01408,9.6
01409,41.5
01410,9.6
01411,18.6
01412,3.0
01413,35.6
01414,29.4
01415,13.8
01416,12.9
01417,34.7
01418,2.7
01419,7.3
01420,2.0
01421,7.4
01422,2.6
01423,1.3
01424,1.4
01425,3.0
01426,7.7
01427,1.2
01428,4.6
01429,3.2
01430,5.1
01431,4.5
01432,13.1
01433,13.9
01434,7.8
01435,3.5
01436,3.1
01437,15.6
01439,6.7
01441,3.9
01442,26.1
01443,1.3
01444,8.4
01445,2.8
01446,3.0
01447,4.7
01448,7.1
01449,11.2
01450,6.5
01451,0.8
01452,11.6
01453,21.6
01454,6.2
01456,18.9
01457,1.7
02-01,3.1
02-02,7.4
02-03,4.5
02-04,12.5
02-05,8.9
02-06,10.1
02-07,6.9
02-08,9.1
02-09,4.5
02-10,4.7
02-11,5.3
02-12,3.0
02-13,4.4
02-14,2.4
02-15,1.7
02-16,4.1
02-17,3.4
02-18,4.1
02-19,9.2
02-20,9.2
02-21,11.4
02001,4.4
02002,1.6
02003,3.5
02004,14.6
02005,0.7
02006,8.4
02007,10.7
02008,6.9
02009,2.5
02010,1.4
02011,8.3
02012,9.2
02013,2.5
02014,2.9
02015,16.1
02016,2.1
02017,5.7
02018,1.0
02019,2.9
02020,8.1
02021,21.9
02022,16.1
02023,14.6
02024,14.1
02025,0.7
02026,15.9
02027,1.8
02028,0.7
02029,6.5
02030,1.6
02031,7.8
02032,2.8
02033,5.3
02034,11.1
02035,3.2
02036,8.6
02037,0.4
02038,38.7
02039,10.3
02040,18.7
02041,0.9
02042,9.0
02043,4.2
02044,27.4
02046,0.4
02047,0.0
02048,8.5
02049,6.4
02050,8.4
02051,12.2
02052,8.0
02053,18.6
02054,3.3
02055,23.0
02056,3.8
02057,2.6
02058,2.9
02059,0.8
02060,4.5
02061,8.8
02062,13.9
02063,1.3
02064,0.8
02065,0.7
02066,0.0
02067,2.0
02068,0.0
02069,10.9
02070,7.4
02071,63.1
02072,7.8
02073,1.3
02074,4.3
02075,3.0
02076,2.0
02077,5.5
02078,8.2
02079,32.0
02080,1.8
02081,3.4
02082,21.0
02083,10.4
02084,12.5
02085,5.8
02086,1.2
02087,6.2
02088,16.6
02089,0.0
02090,12.7
02091,3.0
02093,5.4
02094,4.3
02095,1.4
02096,7.8
02097,6.7
02098,6.1
02099,10.4
02100,4.3
02101,3.4
02102,4.5
02103,0.5
02104,9.8
02105,3.5
02106,5.8
02107,2.6
02108,11.4
02109,2.4
02110,2.1
02111,1.3
02112,3.5
02114,1.7
02115,5.3
02116,16.3
02117,3.8
02118,3.8
02119,10.7
02120,5.9
02121,3.5
02122,8.6
02123,4.2
02124,1.2
02125,14.5
02126,5.1
02127,5.1
02128,2.3
02129,30.4
02130,5.2
02131,0.9
02132,6.1
02133,2.0
02134,2.0
02135,4.7
02136,16.1
02137,12.6
02138,4.9
02139,5.6
02140,6.4
02141,1.7
02142,2.1
02143,3.2
02144,13.8
02145,1.8
02146,20.0
02147,21.1
02148,5.6
02149,0.0
02150,3.5
02151,1.6
02152,24.6
02153,2.5
02154,8.6
02155,12.0
02156,8.3
02157,0.0
02158,83.5
02159,5.5
02160,3.2
02161,11.9
02162,7.6
02163,2.2
02164,11.6
02165,1.6
02166,11.1
02167,3.5
02168,1.6
02169,20.4
02170,7.8
02171,9.4
02172,3.9
02173,1.0
02174,3.6
02175,4.7
02176,8.5
02177,4.5
02178,11.8
02179,16.2
02180,2.1
02181,12.8
02182,12.1
02183,10.9
02184,4.7
02185,7.3
02186,7.6
02187,1.7
02188,16.2
02189,2.5
02190,3.0
02191,0.0
02192,10.4
02193,17.3
02194,2.9
02195,5.4
02196,1.4
02197,1.8
02198,4.1
02199,1.3
02200,6.2
02201,10.9
02203,6.3
02204,20.2
02205,9.0
02206,17.1
02207,8.0
02208,10.6
02209,4.6
02210,4.6
02211,3.7
02212,0.7
02213,5.8
02214,0.0
02215,2.9
02216,20.5
02217,6.8
02218,0.7
02219,7.9
02220,12.2
02221,6.9
02222,6.4
02223,6.7
02224,9.7
02225,10.6
02226,0.5
02227,13.0
02228,7.6
02229,13.9
02230,5.4
